graph6,name,hog
GFbvJs,,proper-thin-4/grafo-8-10325-None.sobj
GW~Nek,,proper-thin-4/grafo-8-10851-None.sobj
GW~F~c,,proper-thin-4/grafo-8-10843-None.sobj
GLz]nS,,proper-thin-4/grafo-8-12255-None.sobj
GW~Fe{,,proper-thin-4/grafo-8-10842-None.sobj
GBbrJs,,35529
GF`n~w,,proper-thin-4/grafo-8-10417-None.sobj
G]~v~w,,proper-thin-4/grafo-8-12341-None.sobj
GWzN~K,,proper-thin-4/grafo-8-10891-None.sobj
GWRS\s,,35527
GWvtbs,,proper-thin-4/grafo-8-11601-None.sobj
GWjru[,,proper-thin-4/grafo-8-10410-None.sobj
GC}VZ{,,proper-thin-4/grafo-8-10229-None.sobj
